EmployeeID,Age,Department,Gender,Education,YearsAtCompany,PerformanceScore,MonthlyIncome,JobSatisfaction,TrainingHours,CompetencyScore
1,59,Finance,Female,Bachelor,11,1,14031,2,43,4
2,49,,Male,Master,11,1,7489,2,79,2
3,35,HR,Male,Master,19,5,14841,1,74,2
4,28,Engineering,,Bachelor,5,3,11178,2,13,5
5,41,Engineering,Male,Master,22,3,11387,3,2,1
6,59,Sales,Female,High School,3,2,,2,61,5
7,39,Engineering,Male,PhD,5,3,21219,3,63,2
8,43,Engineering,Male,High School,10,3,3076,3,44,4
9,31,Operations,Male,PhD,0,3,9611,4,81,2
10,31,HR,Male,Bachelor,23,3,7997,5,57,3
11,44,Sales,Female,High School,22,4,14929,3,,2
12,56,Operations,Male,Bachelor,14,3,8686,3,57,3
13,44,Marketing,Male,Bachelor,10,3,17346,2,88,3
14,23,HR,Female,PhD,24,,8344,5,56,3
15,42,HR,Female,PhD,18,4,20902,1,76,1
16,22,Marketing,Female,PhD,17,3,9915,2,67,1
,44,Engineering,Male,High School,16,3,15334,2,77,1
,50,Operations,Male,Master,18,2,5360,3,96,3
19,58,Finance,Female,PhD,20,5,11200,2,91,
20,22,Sales,Female,PhD,13,2,22558,4,51,4
21,41,Finance,Female,High School,17,4,5881,2,36,2
22,53,Marketing,Female,PhD,18,3,2314,3,7,3
23,32,,Female,,14,2,20473,2,43,4
24,42,HR,Female,Bachelor,14,4,13297,1,97,2
25,45,Sales,Male,PhD,3,,10935,5,4,3
26,,HR,Male,PhD,6,4,13948,2,68,3
27,48,HR,Male,Bachelor,12,5,,4,30,
28,36,Sales,Female,Bachelor,2,4,,3,44,1
29,35,Operations,Female,Bachelor,15,1,19048,1,8,2
30,23,Operations,Female,PhD,8,4,14322,5,31,3
31,57,Sales,Female,Master,,3,20313,2,32,1
32,27,Marketing,Female,Master,19,4,6219,4,66,2
33,41,HR,,,12,3,16186,2,29,3
34,,HR,Male,PhD,16,4,22359,4,75,1
35,59,Marketing,Male,Bachelor,16,3,6938,1,28,2
36,38,Operations,,PhD,16,3,4951,3,2,5
37,24,Engineering,Male,Bachelor,0,2,909,4,89,1
38,45,Engineering,Female,PhD,7,,8240,5,56,3
39,34,Engineering,Male,PhD,18,3,10648,5,29,3
,29,Operations,Female,Bachelor,5,3,4166,4,,3
41,46,Operations,Female,Master,2,4,17055,4,25,3
42,22,Marketing,Male,Bachelor,4,3,23682,2,1,2
43,40,,Male,High School,12,2,,2,61,4
44,48,Marketing,Female,High School,14,3,23595,,2,3
45,27,Marketing,Female,Bachelor,13,3,22694,3,,4
46,28,Operations,Male,PhD,22,3,2553,,67,3
47,55,Engineering,Male,High School,15,1,5242,3,24,5
48,34,Finance,Female,High School,17,2,12630,2,50,4
49,37,HR,Male,PhD,21,2,1164,3,12,5
50,56,Operations,Female,PhD,21,4,1568,2,43,3
51,24,Engineering,Female,Master,10,1,7754,3,34,3
52,22,Finance,Female,PhD,2,3,13966,3,54,4
53,26,Finance,Female,Bachelor,21,5,21255,4,86,4
54,24,Operations,Male,,9,2,,4,8,5
55,49,Sales,Male,Master,9,3,5529,3,1,3
56,38,HR,Male,High School,20,4,16609,2,60,4
57,46,Finance,Male,High School,15,5,,3,300,2
58,54,Operations,Male,PhD,11,4,4354,1,43,3
59,30,Operations,Male,Bachelor,1,4,1235,3,63,2
60,56,Engineering,Male,High School,8,4,12472,3,30,3
61,34,Sales,Female,Master,23,3,23078,1,46,5
62,51,HR,Male,Master,2,4,24575,2,1,2
63,35,Marketing,Male,Bachelor,23,1,10830,5,95,3
64,28,Engineering,Female,Master,24,5,15860,,81,3
65,34,Finance,Male,Master,14,3,16456,3,76,2
66,43,Finance,,Bachelor,2,3,17009,1,68,3
67,41,Engineering,Female,PhD,,2,10026,2,57,3
68,36,Operations,Male,PhD,17,4,8074,3,43,2
69,38,Finance,Male,Master,7,1,20545,5,73,4
70,44,Sales,Male,PhD,16,4,2285,,55,5
71,46,HR,Female,PhD,7,4,14552,4,42,2
72,45,Sales,,Master,6,,21616,2,88,2
73,49,Finance,Male,PhD,6,4,4903,5,33,3
74,35,Marketing,Female,Master,2,4,19462,3,29,4
75,21,HR,,High School,0,3,16260,4,70,2
76,45,HR,Female,Bachelor,3,3,9762,,69,
77,27,Engineering,Female,Bachelor,24,2,14466,3,54,3
78,200,Engineering,Male,PhD,4,2,8054,2,,5
79,,Marketing,Female,PhD,0,3,14546,2,12,3
80,21,Operations,Female,PhD,14,5,4378,5,,3
81,28,HR,Male,Bachelor,4,1,13153,5,25,5
82,44,Marketing,Female,High School,12,4,18051,4,56,3
83,31,Engineering,Female,High School,7,3,,3,23,4
84,37,Engineering,Male,Bachelor,7,3,16584,4,52,3
85,28,HR,Male,High School,4,,14689,1,69,5
,55,Sales,Male,Bachelor,8,4,2875,3,42,3
87,55,Finance,Female,High School,0,3,7054,3,59,4
88,53,Engineering,Male,Master,3,3,18265,3,57,3
89,25,Operations,Female,Master,2,3,2286,3,48,4
90,59,Operations,Female,Bachelor,1,1,18924,,41,2
91,48,Engineering,,High School,7,2,20650,3,75,3
92,27,Sales,,PhD,22,3,24288,4,99,4
93,29,Sales,Female,High School,,3,15770,3,65,2
94,28,Marketing,Female,Master,1,4,6268,2,10,3
95,32,Operations,Female,Master,13,3,7793,2,97,2
96,54,Marketing,Male,High School,13,3,4403,2,89,4
,53,Operations,Male,,3,3,2376,2,17,2
98,43,Finance,Female,,5,4,21915,3,84,4
99,44,Finance,Female,PhD,10,,3294,3,99,3
100,57,HR,Male,High School,2,3,4044,3,51,2
101,55,Marketing,Female,High School,7,4,14766,3,45,3
102,,Engineering,Male,High School,2,2,14823,,43,2
103,47,Marketing,Male,High School,13,3,5894,2,21,3
104,55,,Male,Bachelor,12,3,7831,3,52,3
105,21,Sales,Female,High School,12,3,7671,4,58,1
106,55,Marketing,Female,PhD,1,4,14847,2,93,5
107,57,Sales,Male,Master,12,4,18328,2,29,1
108,,Finance,Male,Bachelor,18,2,3444,4,7,3
109,23,Finance,Male,High School,5,3,14290,3,97,3
110,21,HR,Male,Master,15,3,14383,3,56,3
111,25,Marketing,Male,Bachelor,1,2,16926,1,72,3
112,46,Sales,Female,Master,7,2,20769,3,19,3
113,34,Engineering,Male,High School,16,3,8254,3,24,4
114,59,Finance,Female,High School,22,2,7569,1,18,3
115,47,Finance,Male,PhD,1,2,7430,3,4,2
116,29,Engineering,Female,High School,9,,7128,2,74,3
117,35,Sales,Female,High School,15,3,9144,3,78,2
118,35,Sales,Female,Bachelor,5,4,14520,1,71,1
119,46,Marketing,Female,PhD,1,3,6631,2,82,3
120,33,Marketing,Female,Bachelor,1,5,20196,2,86,3
,52,Operations,Female,Master,12,3,13697,1,26,3
122,59,Operations,,High School,23,4,18183,5,39,4
123,52,HR,Female,Master,14,4,10591,1,95,3
124,24,Finance,Male,Bachelor,1,,18842,3,25,3
125,50,Marketing,Female,High School,6,3,10464,2,26,1
,57,Sales,Female,High School,2,4,21846,3,61,3
127,43,Engineering,Male,Bachelor,7,2,10750,5,82,
128,59,Sales,Female,Bachelor,22,3,20723,2,49,3
129,35,Finance,Male,Bachelor,13,3,2335,5,41,4
130,49,,Male,Bachelor,23,3,11763,2,28,3
131,56,,Male,Bachelor,22,1,8277,4,38,3
132,33,HR,Male,High School,21,5,17541,3,59,3
133,52,Finance,Female,Bachelor,6,,20507,4,40,3
134,27,Operations,Female,High School,20,3,23454,3,32,3
135,42,Engineering,Male,High School,6,5,12482,3,82,2
136,48,Operations,Female,Bachelor,0,,598,2,82,2
137,22,HR,Female,Bachelor,16,5,23928,2,96,
138,26,Finance,Male,PhD,,3,1223,5,15,3
139,48,Engineering,Female,High School,20,2,20916,3,22,4
140,48,HR,Male,Bachelor,,4,13631,3,6,3
141,40,Operations,Male,Bachelor,20,3,20990,4,25,
142,50,HR,Female,Bachelor,18,4,19483,3,95,4
143,31,,Female,PhD,20,5,6878,5,11,4
144,48,Marketing,Female,PhD,18,4,5175,4,71,4
145,45,HR,Male,Master,24,3,22010,3,4,3
146,59,HR,Male,High School,24,4,12554,4,1000,4
147,53,Operations,Female,Master,21,3,,1,68,1
148,21,Operations,,Bachelor,16,3,18486,2,48,2
149,47,Engineering,Female,PhD,22,4,11205,3,25,1
150,33,Operations,Female,PhD,22,2,13653,2,4,4
151,23,Sales,Male,,9,4,16182,4,21,1
152,59,Finance,Female,PhD,9,4,19341,5,78,3
153,,Finance,Male,Bachelor,3,4,20030,3,12,3
154,28,Marketing,Male,PhD,7,3,9963,3,27,3
155,47,,Female,Master,21,4,19633,5,32,10
156,29,Finance,Female,Bachelor,19,3,1241,3,22,2
157,57,Marketing,Female,Master,19,4,2207,,96,3
158,53,Engineering,Male,PhD,17,2,5137,3,17,4
159,44,Operations,Female,Master,13,2,13980,5,29,1
,35,Finance,Female,Master,,2,24789,3,25,3
161,52,Marketing,Male,High School,13,3,17927,4,15,
162,,Finance,Female,,19,3,5996,4,76,5
163,44,Sales,Male,PhD,20,4,16526,,38,4
164,32,HR,,Master,23,3,13843,3,32,3
165,59,Operations,Male,High School,14,3,12915,4,25,3
166,22,Finance,Female,PhD,21,1,1766,3,47,1
167,23,HR,,Bachelor,3,3,20641,4,64,2
168,57,Marketing,Male,Master,12,3,18650,5,37,
169,37,HR,Male,,22,1,675,3,1,3
170,22,Operations,Female,,7,2,562,4,5,4
,22,Finance,Male,PhD,17,2,21046,4,45,3
172,,Sales,Male,Bachelor,11,1,-500,4,49,3
173,43,Marketing,Male,Master,22,3,11880,3,37,3
174,57,Finance,Male,PhD,13,2,10436,,87,3
175,52,Operations,Female,PhD,1,4,8133,3,17,
176,53,Marketing,Female,High School,17,4,2193,3,26,2
177,21,,Male,Master,23,3,,3,40,3
178,39,HR,Male,Bachelor,1,5,12126,4,71,
179,5,Operations,Male,PhD,10,3,1952,3,91,1
,46,Engineering,Male,PhD,8,3,22224,3,73,3
181,52,Finance,Female,Bachelor,11,5,20576,2,16,4
182,26,Sales,Female,Master,,2,899,4,61,1
,52,Marketing,Male,High School,14,5,21499,3,28,1
184,24,HR,Male,High School,24,1,18596,2,57,2
,,,Male,PhD,16,3,9092,2,69,4
186,37,Finance,Female,Bachelor,17,1,20897,,77,4
187,58,Marketing,Male,PhD,21,4,3937,3,21,3
188,44,HR,Female,Bachelor,5,3,10655,2,5,3
189,25,Finance,Male,,16,4,16289,5,25,4
190,54,Marketing,Female,Master,22,3,9590,4,,4
191,26,Sales,Male,Bachelor,23,3,5899,5,11,4
192,42,Operations,,High School,17,1,23132,3,98,
193,31,,Male,PhD,7,3,14642,,,3
194,36,Operations,Male,Bachelor,8,5,14245,4,21,3
195,53,Finance,Male,Master,5,3,11062,3,50,4
196,29,Sales,Female,PhD,4,4,14612,4,,5
197,26,Operations,Male,PhD,11,4,7682,2,,1
198,36,Engineering,Female,High School,24,3,9282,3,70,1
199,49,HR,Female,Bachelor,10,3,20253,2,49,
200,23,Engineering,Male,PhD,24,1,8007,2,88,2
201,40,,Male,,0,2,17430,1,12,4
202,,Sales,Male,Bachelor,10,1,4933,1,84,3
203,39,Engineering,Female,Master,18,3,17604,5,9,2
204,46,Finance,Male,PhD,,3,9569,2,54,1
205,23,Marketing,Female,Master,1,3,14078,3,8,2
206,39,Marketing,Female,High School,11,3,7308,4,78,2
207,40,Engineering,Male,Master,3,3,15823,3,51,3
208,52,Engineering,Male,,3,3,19065,2,1,4
209,27,,Male,Master,17,,3918,4,24,5
210,53,HR,Male,Master,14,1,21127,3,12,3
